Event,Magnitude,Fault Type,Distance,Depth,Station,Instrument,T* Class,P* Class,PGA,SA 0.01s,SA 0.02s,SA 0.03s,SA 0.05s,SA 0.07s,SA 0.1s,SA 0.15s,SA 0.2s,SA 0.25s, SA 0.3s,SA 0.4s,SA 0.5s,SA 0.75s,SA 1s,SA 1.5s,SA 2s,SA 3s,SA 4s,SA 5s,SA 7.5s,SA 10s
0611201438,5.5,0.0,99.22,41.5,ACRU,ETNA,III,A,7.72E-02,8.11E-02,9.24E-02,1.23E-01,1.87E-01,2.76E-01,1.72E-01,1.57E-01,1.31E-01,4.89E-02,4.32E-02,3.44E-02,4.61E-02,1.78E-02,8.67E-03,2.46E-03,1.34E-03,5.96E-04,3.65E-04,2.38E-04,9.96E-05,5.17E-05  
0107070938,7.6,0.0,200.12,14.1,ACHA,ETNA,VI,None,6.45E-02,6.48E-02,6.68E-02,6.71E-02,6.71E-02,7.03E-02,7.31E-02,1.04E-01,9.33E-02,1.37E-01,1.30E-01,1.80E-01,1.61E-01,1.34E-01,1.38E-01,7.51E-02,5.90E-02,5.99E-02,3.07E-02,1.37E-02,7.34E-03,3.49E-03  
0108080333,5.6,1.0,149.07,114.1,ACHA,ETNA,VI,None,5.04E-02,5.14E-02,5.65E-02,5.61E-02,6.37E-02,9.71E-02,1.29E-01,1.69E-01,8.71E-02,1.08E-01,9.53E-02,4.77E-02,2.40E-02,1.88E-02,2.63E-02,1.23E-02,5.89E-03,2.24E-03,1.11E-03,6.18E-04,2.30E-04,1.30E-04  
0507131206,5.7,1.0,94.9,79.3,ACHA,ETNA,VI,None,6.42E-02,6.50E-02,7.55E-02,8.89E-02,1.01E-01,1.68E-01,1.72E-01,1.46E-01,1.03E-01,9.64E-02,8.21E-02,1.25E-01,1.05E-01,4.10E-02,2.14E-02,6.75E-03,3.70E-03,2.06E-03,1.40E-03,7.07E-04,3.02E-04,1.65E-04  
0611201438,5.5,0.0,82.29,41.5,ACHA,ETNA,VI,None,1.39E-01,1.42E-01,1.45E-01,1.61E-01,1.92E-01,4.15E-01,4.22E-01,2.36E-01,1.62E-01,2.00E-01,1.83E-01,2.14E-01,1.33E-01,3.20E-02,2.35E-02,8.70E-03,5.55E-03,2.32E-03,1.28E-03,7.91E-04,3.17E-04,1.71E-04  
0506132244,7.8,1.0,235.75,105.5,ACO,SMA-1,VI,None,1.67E-01,1.67E-01,1.69E-01,1.72E-01,2.05E-01,3.44E-01,3.93E-01,5.08E-01,3.65E-01,3.67E-01,4.41E-01,3.27E-01,3.29E-01,2.85E-01,1.53E-01,1.15E-01,5.20E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0506132244,7.8,1.0,294.32,105.5,CALA,ETNA,V,B,7.26E-02,7.43E-02,8.34E-02,8.46E-02,1.33E-01,2.57E-01,1.35E-01,1.31E-01,1.60E-01,1.19E-01,1.26E-01,9.38E-02,6.97E-02,4.56E-02,5.35E-02,3.29E-02,1.43E-02,6.92E-03,4.52E-03,2.75E-03,1.33E-03,7.51E-04  
0711141540,7.7,0.0,128.03,33.6,CALA,ETNA,V,B,9.50E-02,9.60E-02,9.94E-02,1.12E-01,2.00E-01,3.28E-01,1.96E-01,1.72E-01,1.70E-01,1.71E-01,1.51E-01,1.48E-01,1.24E-01,8.22E-02,8.40E-02,5.89E-02,3.24E-02,1.33E-02,6.98E-03,4.46E-03,2.03E-03,0.00E+00  
1002270634,8.8,0.0,39.92,28.1,CO,SMA-1,IV,B,3.43E-01,3.47E-01,3.50E-01,3.55E-01,3.89E-01,4.15E-01,4.78E-01,6.57E-01,8.37E-01,9.92E-01,8.96E-01,7.05E-01,6.11E-01,6.01E-01,3.75E-01,1.08E+00,7.72E-01,1.54E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,44.28,28.1,CONT,SMA-1,VI,None,5.93E-01,5.94E-01,5.96E-01,6.01E-01,6.62E-01,6.90E-01,8.08E-01,1.00E+00,1.76E+00,2.71E+00,2.02E+00,2.32E+00,2.07E+00,1.38E+00,8.28E-01,4.14E-01,3.02E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0604301917,6.6,0.0,106.07,12,COPI,QDR,III,C,4.98E-02,5.00E-02,5.03E-02,5.08E-02,5.44E-02,7.08E-02,8.91E-02,1.64E-01,1.17E-01,1.38E-01,1.66E-01,1.41E-01,7.46E-02,1.95E-02,9.49E-03,6.01E-03,4.05E-03,2.05E-03,1.37E-03,1.37E-03,0.00E+00,0.00E+00  
0604302140,6.5,0.0,84.62,12,COPI,QDR,III,C,7.41E-02,7.48E-02,7.55E-02,7.69E-02,8.07E-02,1.04E-01,1.22E-01,2.42E-01,1.66E-01,2.51E-01,2.09E-01,1.69E-01,8.61E-02,3.01E-02,1.69E-02,8.57E-03,4.95E-03,2.45E-03,1.56E-03,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,102.03,28.1,CURI,QDR,III,B,4.51E-01,4.53E-01,4.55E-01,4.60E-01,4.95E-01,6.64E-01,1.25E+00,1.43E+00,1.30E+00,1.42E+00,1.13E+00,9.43E-01,8.49E-01,5.57E-01,4.53E-01,3.35E-01,1.69E-01,7.87E-02,6.11E-02,5.12E-02,0.00E+00,0.00E+00  
0506132244,7.8,1.0,178.75,105.5,CUY,SMA-1,III,C,4.50E-01,4.52E-01,4.55E-01,4.59E-01,5.86E-01,7.28E-01,1.06E+00,1.25E+00,1.58E+00,1.43E+00,1.11E+00,4.56E-01,3.90E-01,1.64E-01,9.22E-02,6.75E-02,6.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0911130305,6.5,0.0,56.35,36,CUY,SMA-1,III,C,1.36E-01,1.37E-01,1.39E-01,1.43E-01,1.61E-01,2.44E-01,2.26E-01,4.62E-01,5.55E-01,2.53E-01,1.28E-01,6.67E-02,4.70E-02,1.89E-02,1.08E-02,7.71E-03,5.15E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0711141540,7.7,0.0,210.87,33.6,FUBA,QDR,IV,A,7.90E-02,8.11E-02,8.28E-02,8.60E-02,1.06E-01,1.61E-01,1.71E-01,1.58E-01,1.54E-01,1.58E-01,1.79E-01,1.75E-01,1.63E-01,7.53E-02,3.87E-02,2.64E-02,1.76E-02,1.01E-02,7.39E-03,4.22E-03,0.00E+00,0.00E+00  
1002270634,8.8,0.0,60.05,28.1,HUAL,SMA-1,VI,None,4.27E-01,4.32E-01,4.42E-01,4.59E-01,6.03E-01,7.90E-01,1.26E+00,1.02E+00,1.01E+00,1.06E+00,9.19E-01,8.36E-01,8.74E-01,9.08E-01,5.19E-01,3.06E-01,1.26E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0506132244,7.8,1.0,150.96,105.5,IQUI,ETNA,IV,A,2.62E-01,2.85E-01,3.54E-01,3.70E-01,5.40E-01,7.65E-01,6.55E-01,6.48E-01,5.45E-01,4.67E-01,5.14E-01,4.86E-01,3.82E-01,1.75E-01,1.71E-01,8.73E-02,4.85E-02,2.82E-02,1.23E-02,8.79E-03,6.65E-03,4.07E-03  
0711141540,7.7,0.0,197.57,33.6,IQUI,ETNA,IV,A,5.98E-02,6.02E-02,6.08E-02,6.04E-02,6.51E-02,7.69E-02,9.44E-02,1.28E-01,1.90E-01,1.60E-01,2.05E-01,1.71E-01,1.37E-01,7.91E-02,4.18E-02,1.94E-02,1.37E-02,6.08E-03,3.99E-03,2.47E-03,1.51E-03,0.00E+00  
0802041701,6.3,0.0,47.81,42.8,IQUI,ETNA,IV,A,5.77E-02,6.02E-02,6.95E-02,1.14E-01,1.60E-01,1.37E-01,1.13E-01,1.02E-01,9.81E-02,6.41E-02,1.09E-01,8.76E-02,8.40E-02,5.44E-02,4.45E-02,2.95E-02,1.63E-02,6.13E-03,3.60E-03,2.56E-03,1.20E-03,6.42E-04  
0803011951,5.6,0.0,43.94,38.8,IQUI,ETNA,IV,A,5.13E-02,5.46E-02,5.49E-02,5.57E-02,8.15E-02,9.30E-02,9.87E-02,1.21E-01,1.02E-01,1.06E-01,1.45E-01,9.62E-02,8.54E-02,4.75E-02,3.19E-02,1.31E-02,6.71E-03,2.31E-03,1.10E-03,6.87E-04,3.25E-04,1.89E-04  
0506132244,7.8,1.0,151.43,105.5,IQID,SMA-1,IV,A,2.16E-01,2.17E-01,2.20E-01,2.24E-01,2.82E-01,4.96E-01,4.73E-01,4.47E-01,4.65E-01,4.54E-01,4.57E-01,4.98E-01,4.62E-01,1.96E-01,1.55E-01,8.96E-02,4.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0802041701,6.3,0.0,47.71,42.8,IQEC,ETNA,IV,B,1.94E-01,1.99E-01,2.01E-01,2.27E-01,3.33E-01,5.09E-01,3.43E-01,3.41E-01,3.69E-01,4.15E-01,5.23E-01,4.36E-01,3.10E-01,9.37E-02,4.54E-02,3.10E-02,1.80E-02,7.12E-03,5.97E-03,4.02E-03,1.66E-03,8.48E-04  
0803011951,5.6,0.0,42.56,38.8,IQEC,ETNA,IV,B,1.05E-01,1.06E-01,1.07E-01,1.11E-01,1.45E-01,2.40E-01,1.48E-01,1.63E-01,1.37E-01,1.98E-01,2.70E-01,2.92E-01,2.08E-01,7.58E-02,5.13E-02,2.35E-02,1.18E-02,3.84E-03,1.92E-03,1.27E-03,6.06E-04,3.41E-04  
0803242039,6.2,1.0,177.16,120.8,IQEC,ETNA,IV,B,5.79E-02,5.94E-02,6.60E-02,7.87E-02,1.19E-01,2.04E-01,1.76E-01,1.21E-01,1.04E-01,1.11E-01,9.63E-02,5.56E-02,4.20E-02,2.16E-02,8.90E-03,4.10E-03,2.32E-03,1.02E-03,5.20E-04,4.01E-04,1.75E-04,9.45E-05  
0911130305,6.5,0.0,99.56,36,IQEC,ETNA,IV,B,5.57E-02,5.65E-02,5.84E-02,5.81E-02,6.88E-02,1.25E-01,1.62E-01,1.35E-01,1.23E-01,1.60E-01,1.64E-01,1.42E-01,1.19E-01,4.78E-02,2.60E-02,1.30E-02,4.06E-03,2.68E-03,1.75E-03,1.15E-03,4.09E-04,2.11E-04  
0506132244,7.8,1.0,151.84,105.5,IQPZ,SMA-1,VI,None,2.61E-01,2.63E-01,2.66E-01,2.72E-01,3.43E-01,4.47E-01,5.43E-01,1.11E+00,7.87E-01,7.44E-01,4.97E-01,4.64E-01,5.13E-01,2.09E-01,1.56E-01,1.07E-01,5.82E-02,2.77E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0206181356,6.4,0.0,117.64,54,LSER,SMA-1,III,B,1.43E-01,1.44E-01,1.46E-01,1.50E-01,1.87E-01,2.17E-01,3.53E-01,3.58E-01,4.27E-01,3.56E-01,3.74E-01,2.02E-01,1.62E-01,7.14E-02,3.93E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0006160755,6.4,1.0,203.29,114,LLO,SMA-1,IV,B,4.91E-02,4.94E-02,5.02E-02,5.21E-02,6.57E-02,8.52E-02,1.25E-01,1.29E-01,1.04E-01,1.64E-01,1.27E-01,1.20E-01,1.07E-01,3.12E-02,1.88E-02,8.99E-03,3.98E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,65.98,28.1,LLO,SMA-1,IV,B,4.35E-01,4.39E-01,4.47E-01,4.68E-01,5.70E-01,7.59E-01,9.36E-01,1.36E+00,1.43E+00,1.49E+00,1.32E+00,1.09E+00,1.09E+00,6.81E-01,4.64E-01,1.40E-01,9.34E-02,5.23E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
1002270634,8.8,0.0,45.93,28.1,MAT,QDR,VI,None,3.21E-01,3.23E-01,3.22E-01,3.33E-01,3.43E-01,3.73E-01,4.18E-01,5.87E-01,8.30E-01,8.67E-01,7.89E-01,9.99E-01,1.18E+00,8.49E-01,5.54E-01,2.55E-01,2.53E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0506132244,7.8,1.0,386.48,105.5,MEJI,ETNA,III,A,2.11E-02,2.11E-02,2.16E-02,2.23E-02,3.26E-02,3.16E-02,5.34E-02,3.07E-02,3.61E-02,4.28E-02,5.54E-02,5.23E-02,4.06E-02,3.90E-02,4.18E-02,3.35E-02,3.55E-02,1.15E-02,1.59E-02,1.33E-02,4.62E-03,1.49E-03  
0711141540,7.7,0.0,32.11,33.6,MEJI,ETNA,III,A,4.16E-01,4.24E-01,4.42E-01,4.49E-01,5.09E-01,5.98E-01,7.09E-01,7.10E-01,6.39E-01,7.96E-01,7.38E-01,9.56E-01,7.74E-01,7.17E-01,4.03E-01,2.26E-01,2.58E-01,6.69E-02,6.44E-02,6.15E-02,3.45E-02,1.23E-02  
0711151503,6.3,0.0,38.79,31.4,MEJI,ETNA,III,A,6.32E-02,6.38E-02,6.51E-02,6.70E-02,9.02E-02,7.66E-02,1.59E-01,1.16E-01,9.55E-02,1.68E-01,1.87E-01,1.13E-01,7.75E-02,8.30E-02,6.99E-02,7.67E-02,6.08E-02,2.57E-02,1.55E-02,1.37E-02,4.65E-03,1.79E-03  
0711151506,6.8,0.0,67.47,35,MEJI,ETNA,III,A,1.03E-01,1.05E-01,1.06E-01,1.06E-01,1.15E-01,1.15E-01,1.67E-01,1.40E-01,1.36E-01,1.88E-01,2.58E-01,2.45E-01,2.18E-01,1.66E-01,1.14E-01,7.18E-02,9.54E-02,4.09E-02,2.22E-02,2.38E-02,8.72E-03,2.95E-03  
0711170307,5.5,0.0,43.51,34.5,MEJI,ETNA,III,A,3.45E-02,3.47E-02,4.09E-02,5.14E-02,1.25E-01,8.15E-02,1.46E-01,5.72E-02,4.54E-02,5.83E-02,5.28E-02,5.63E-02,4.07E-02,2.48E-02,1.92E-02,9.90E-03,5.62E-03,1.88E-03,1.65E-03,1.23E-03,4.54E-04,1.84E-04  
0712160809,6.7,1.0,71.25,57,MEJI,ETNA,III,A,9.93E-02,1.01E-01,1.17E-01,1.35E-01,2.64E-01,1.59E-01,3.07E-01,1.60E-01,1.70E-01,1.94E-01,1.63E-01,2.45E-01,1.59E-01,1.62E-01,8.93E-02,8.44E-02,9.68E-02,5.31E-02,3.89E-02,4.39E-02,1.39E-02,4.65E-03  
0712160809,6.7,1.0,68.41,57,MJCE,ETNA,IV,A,1.37E-01,1.48E-01,1.89E-01,2.60E-01,2.94E-01,3.98E-01,2.79E-01,2.12E-01,1.93E-01,1.46E-01,1.45E-01,2.92E-01,1.71E-01,1.75E-01,9.22E-02,1.12E-01,8.14E-02,6.33E-02,4.39E-02,2.88E-02,8.60E-03,4.13E-03  
0712130723,6.2,0.0,38.63,30.6,MJPU,ETNA,I,None,5.48E-02,5.54E-02,5.60E-02,5.77E-02,6.08E-02,6.78E-02,9.31E-02,1.52E-01,1.66E-01,1.16E-01,1.01E-01,9.13E-02,1.03E-01,5.11E-02,3.68E-02,1.50E-02,9.62E-03,1.63E-02,6.97E-03,3.36E-03,1.38E-03,9.63E-04  
0712160809,6.7,1.0,67.08,57,MJPU,ETNA,I,None,4.46E-01,4.55E-01,4.62E-01,4.80E-01,5.65E-01,7.11E-01,7.50E-01,1.13E+00,1.19E+00,6.48E-01,6.57E-01,6.91E-01,4.64E-01,2.62E-01,1.32E-01,1.09E-01,7.56E-02,5.62E-02,3.14E-02,1.51E-02,5.79E-03,2.70E-03  
0712160809,6.7,1.0,61.19,57,MICH,ETNA,VI,None,1.75E-01,1.82E-01,2.39E-01,2.70E-01,3.38E-01,5.32E-01,5.96E-01,3.38E-01,2.37E-01,4.63E-01,2.81E-01,2.04E-01,1.73E-01,6.61E-02,3.66E-02,2.34E-02,2.11E-02,1.09E-02,4.82E-03,3.07E-03,1.53E-03,9.47E-04  
1002270634,8.8,0.0,168.53,28.1,PAP,SMA-1,III,C,3.59E-01,3.60E-01,3.62E-01,3.65E-01,3.92E-01,4.39E-01,5.09E-01,6.04E-01,6.60E-01,9.07E-01,1.56E+00,1.11E+00,4.31E-01,1.52E-01,8.95E-02,5.25E-02,4.99E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
9710150103,7.1,1.0,194.25,62.3,PAP,SMA-1,III,C,1.14E-01,1.14E-01,1.14E-01,1.15E-01,1.27E-01,1.31E-01,1.66E-01,1.92E-01,2.71E-01,4.13E-01,5.08E-01,2.44E-01,8.90E-02,3.35E-02,1.93E-02,9.07E-03,7.23E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0711141540,7.7,0.0,132.7,33.6,PPAT,CUSP 3A,III,A,8.05E-02,8.19E-02,8.45E-02,8.67E-02,9.45E-02,1.56E-01,1.74E-01,2.04E-01,1.97E-01,2.48E-01,2.09E-01,1.54E-01,1.51E-01,9.98E-02,7.74E-02,2.70E-02,2.31E-02,1.41E-02,8.04E-03,4.80E-03,1.97E-03,0.00E+00  
0506132244,7.8,1.0,119.85,105.5,PICA,ETNA,III,B,6.52E-01,6.66E-01,6.77E-01,8.24E-01,1.06E+00,1.31E+00,1.91E+00,1.77E+00,2.92E+00,3.03E+00,1.58E+00,9.60E-01,4.95E-01,3.74E-01,3.79E-01,1.66E-01,7.98E-02,5.30E-02,3.37E-02,2.91E-02,1.07E-02,0.00E+00  
0508130239,5.8,1.0,144.39,114.6,PICA,ETNA,III,B,7.87E-02,8.03E-02,8.38E-02,9.31E-02,1.27E-01,2.21E-01,2.81E-01,1.77E-01,1.75E-01,1.17E-01,5.96E-02,3.86E-02,3.13E-02,1.17E-02,1.24E-02,8.80E-03,4.79E-03,2.02E-03,9.91E-04,5.85E-04,2.36E-04,1.38E-04  
0710250835,5.6,1.0,125.32,102.5,PICA,ETNA,III,B,6.92E-02,7.07E-02,7.26E-02,7.70E-02,1.16E-01,1.76E-01,2.02E-01,1.86E-01,1.67E-01,9.39E-02,5.95E-02,1.93E-02,1.41E-02,1.10E-02,9.70E-03,5.53E-03,3.33E-03,1.43E-03,6.73E-04,4.10E-04,1.82E-04,1.05E-04  
0711141540,7.7,0.0,185.4,33.6,PICA,ETNA,III,B,1.94E-01,1.95E-01,2.00E-01,2.00E-01,2.49E-01,3.76E-01,5.10E-01,5.30E-01,7.30E-01,5.52E-01,4.85E-01,2.17E-01,1.52E-01,1.08E-01,9.46E-02,7.14E-02,2.45E-02,1.03E-02,7.98E-03,5.71E-03,2.26E-03,0.00E+00  
0802041701,6.3,0.0,87.76,42.8,PICA,ETNA,III,B,8.56E-02,8.68E-02,8.91E-02,9.41E-02,1.18E-01,2.25E-01,2.93E-01,2.02E-01,2.43E-01,1.22E-01,8.46E-02,4.55E-02,2.48E-02,1.35E-02,9.22E-03,5.35E-03,2.79E-03,2.26E-03,1.81E-03,1.28E-03,4.83E-04,2.50E-04  
0803011951,5.6,0.0,84.49,38.8,PICA,ETNA,III,B,9.22E-02,9.31E-02,9.43E-02,9.70E-02,1.09E-01,1.39E-01,1.80E-01,2.79E-01,2.48E-01,1.38E-01,1.18E-01,6.66E-02,3.76E-02,1.71E-02,8.78E-03,4.79E-03,2.36E-03,8.34E-04,4.46E-04,2.83E-04,1.38E-04,7.31E-05  
0803242039,6.2,1.0,135.23,120.8,PICA,ETNA,III,B,2.75E-01,2.78E-01,2.86E-01,3.00E-01,4.06E-01,6.41E-01,8.44E-01,5.91E-01,4.98E-01,4.83E-01,2.77E-01,1.08E-01,1.06E-01,2.65E-02,1.68E-02,1.62E-02,5.63E-03,2.80E-03,1.68E-03,1.22E-03,4.82E-04,2.10E-04  
0711141540,7.7,0.0,391.53,33.6,POCO,ETNA,VI,None,2.17E-02,2.19E-02,2.21E-02,2.24E-02,2.32E-02,2.75E-02,3.53E-02,4.76E-02,5.83E-02,4.73E-02,5.34E-02,5.04E-02,5.37E-02,5.14E-02,2.92E-02,2.59E-02,2.37E-02,6.57E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0205230023,5.5,1.0,127.34,61.6,PAMO,K2,III,B,9.80E-02,9.86E-02,9.96E-02,1.02E-01,1.15E-01,1.67E-01,1.75E-01,1.94E-01,2.80E-01,2.31E-01,1.63E-01,8.61E-02,8.14E-02,2.77E-02,1.29E-02,5.09E-03,2.52E-03,1.40E-03,7.30E-04,4.90E-04,2.05E-04,9.49E-05  
0206181356,6.4,0.0,91.3,54,PAMO,K2,III,B,1.01E-01,1.01E-01,1.04E-01,1.08E-01,1.26E-01,3.79E-01,2.73E-01,3.02E-01,2.90E-01,3.89E-01,2.32E-01,1.05E-01,6.67E-02,2.88E-02,1.96E-02,8.54E-03,3.55E-03,2.89E-03,2.04E-03,1.75E-03,5.66E-04,3.48E-04  
0306201330,6.8,0.0,69.4,32,PAMO,K2,III,B,8.45E-02,8.51E-02,8.67E-02,8.75E-02,1.07E-01,1.48E-01,2.18E-01,2.46E-01,2.42E-01,2.15E-01,1.83E-01,1.12E-01,8.41E-02,4.90E-02,2.81E-02,1.96E-02,1.37E-02,7.30E-03,4.49E-03,1.96E-03,6.55E-04,3.48E-04  
0401100725,5.6,0.0,67.32,53.3,PAMO,K2,III,B,6.65E-02,6.76E-02,7.34E-02,7.77E-02,1.06E-01,1.75E-01,2.17E-01,1.42E-01,1.43E-01,7.91E-02,5.09E-02,3.70E-02,3.54E-02,1.38E-02,9.92E-03,4.51E-03,2.90E-03,1.57E-03,8.61E-04,4.71E-04,1.94E-04,1.14E-04  
0610121805,6.3,0.0,44.51,31,PAMO,K2,III,B,1.30E-01,1.31E-01,1.35E-01,1.41E-01,1.82E-01,3.04E-01,3.33E-01,4.66E-01,4.95E-01,3.53E-01,4.08E-01,1.94E-01,1.29E-01,6.30E-02,2.96E-02,1.68E-02,9.52E-03,5.14E-03,2.33E-03,1.31E-03,7.12E-04,4.31E-04  
0506132244,7.8,1.0,230.33,105.5,PUTR,SMA-1,VI,None,9.69E-02,9.71E-02,9.80E-02,9.97E-02,1.14E-01,1.80E-01,1.87E-01,3.62E-01,2.42E-01,2.52E-01,2.94E-01,1.97E-01,2.08E-01,1.37E-01,8.01E-02,3.62E-02,3.96E-02,1.40E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00  
0711141540,7.7,0.0,206.6,33.6,SPAT,ETNA,V,B,6.51E-02,6.54E-02,6.56E-02,6.63E-02,6.77E-02,8.17E-02,9.43E-02,1.10E-01,1.39E-01,1.48E-01,1.55E-01,1.55E-01,1.38E-01,1.68E-01,1.37E-01,1.40E-01,8.97E-02,3.93E-02,2.21E-02,2.12E-02,5.16E-03,2.03E-03  
1002270634,8.8,0.0,141.18,28.1,SANT,SSA-2,IV,A,2.64E-01,2.65E-01,2.68E-01,2.73E-01,3.26E-01,4.14E-01,4.56E-01,5.28E-01,7.18E-01,6.80E-01,8.56E-01,7.95E-01,6.37E-01,2.95E-01,2.45E-01,2.37E-01,1.36E-01,6.33E-02,3.26E-02,2.96E-02,1.78E-02,1.39E-02  
9703250014,5.5,1.0,89.15,88.5,SANT,SSA-2,IV,A,5.60E-02,5.74E-02,6.11E-02,7.11E-02,1.14E-01,1.38E-01,1.13E-01,8.38E-02,1.10E-01,9.10E-02,5.64E-02,3.40E-02,2.49E-02,1.07E-02,6.66E-03,4.63E-03,2.17E-03,5.33E-04,3.52E-04,2.42E-04,0.00E+00,0.00E+00  
